Site ID,Site Name,Description,Speed Limit,Orientation,Latitude,Longitude
000043007000,43007000,WEST 7TH AVE@ W OF K ST,25.0mph,E,61.215633,-149.902367
000043021000,43021000,WEST 7TH AVE@ W OF D ST,25.0mph,E,61.2156,-149.89
000043026000,43026000,WEST 7TH AVE@BTWN C & A ST,25.0mph,E,61.2156,-149.885
000043032000,43032000,EAST 7TH AVE@ WEST OF CORDOVA ST,25.0mph,E,61.21555,-149.880283
000043042000,43042000,WEST 8TH AVE@ W OF I ST,25.0mph,E,61.2146,-149.901
000043052000,43052000,WEST 8TH AVE@ W OF D ST,25.0mph,E,61.2146,-149.89
000043057000,43057000,WEST 8TH AVE@ BTWN C & A ST,25.0mph,E,61.2146,-149.886
000043063000,43063000,EAST 8TH AVE@W OF CORDOVA ST,25.0mph,E,61.214667,-149.880233
000043066000,43066000,WEST 9TH AVE@ EAST OF N ST,30.0mph,E,61.2136,-149.907
000043073000,43073000,"WEST 9TH AVE - EAST OF K"" ST""",30.0mph,E,61.2136,-149.902
000043083000,43083000,"WEST 9TH AVE - WEST OF F"" ST""",30.0mph,E,61.2136,-149.895
000043088000,43088000,WEST 9TH AVE - EAST OF E ST & WEST OF D ST,30.0mph,E,61.2136,-149.89
000043091000,43091000,9TH AVE@ WEST OF B ST & EAST OF C ST,30.0mph,E,61.2136,-149.887
000043093000,43093000,EAST 9TH AVE@ W OF BARROW ST,30.0mph,E,61.2136,-149.881
000043127000,43127000,H ST BTWN 3RD AVE AND 5TH AVE,25.0mph,N,61.218829,-149.897558
000043157000,43157000,WEST 1ST AVE@ WEST OF E ST - TOTAL,25.0mph,W,61.2215,-149.888
000043157500,43157500,W 1st AVE BTWN EAGLE ST (3rd AVE) & C NORTH ST,25.0mph,E,61.22151491,-149.882201
000043162000,43162000,CHRISTENSEN DR@ SOUTH OF 2ND AVE - TOTAL,25.0mph,S,61.22,-149.896
000043487000,43487000,"NORTH C STREET ACCESS, BTWN WHITNEY RD & 1ST AVE - TOTAL",25.0mph,N,61.222,-149.887
000043506000,43506000,"CORDOVA ST, BTWN EAST 3RD AND EAST 4TH AVES",30.0mph,N,61.219,-149.879
000043508000,43508000,"CORDOVA ST, BTWN EAST 4TH & EAST 5TH",30.0mph,N,61.2181,-149.879
000043518000,43518000,"CORDOVA ST, BTWN EAST 6TH & EAST 7TH AVES",30.0mph,N,61.2158,-149.879
000043566000,43566000,"E ST, BTWN 6TH & 7TH AVE",30.0mph,N,61.2158,-149.891
000043571000,43571000,"E ST, BTWN 4TH & 5TH AVE",30.0mph,N,61.218,-149.891
000043573000,43573000,"E ST, BTWN 3RD & 4TH AVE",30.0mph,N,61.2188,-149.891
000043576000,43576000,"E ST, BTWN 2ND & 3RD AVE - TOTAL",30.0mph,N,61.2199,-149.891
000043578000,43578000,"NORTH C STREET, BTWN 1ST & 2ND AVE - NB",25.0mph,W,61.2206,-149.89
000043584000,43584000,"EAGLE ST, BTWN 3RD & 4TH AVE",20.0mph,N,61.2182,-149.875
000043612000,43612000,"G STREET, BTWN W 8TH AVE & 9TH AVE",25.0mph,S,61.2141,-149.896
000043621000,43621000,"G ST, BTWN 5TH & 6TH AVE - SB",25.0mph,S,61.2171,-149.896
000043623000,43623000,"G ST, BTWN 4TH & 5TH AVE",25.0mph,S,61.218,-149.896
000054082000,54082000,I ST-BETWEEN 9TH AVE & 6TH AVE-NB,30.0mph,N,61.2144,-149.9
000054087000,54087000,WEST 6TH AVE - WEST OF E ST (BAD LOOP),30.0mph,E,61.2166,-149.894
000054092000,54092000,6TH AVE-BETWEEN E ST & C ST (LOOPS) - EB,30.0mph,E,61.2166,-149.89
000054097000,54097000,6TH AVE-BETWEEN C ST & A ST (BAD LOOP) - EB,30.0mph,E,61.2166,-149.887
000054105000,54105000,6TH E OF BARROW (BAD LOOP) - EB,30.0mph,E,61.2166,-149.88
000054301000,54301000,A Street N of 3rd Ave,35.0mph,N,61.21997051,-149.8838731
000054302000,54302000,C Street N of 3rd Ave,35.0mph,S,61.22114129,-149.8852538
000054345000,54345000,ARCHIVED - C STREET N OF 3RD AVE - SB,35.0mph,S,61.2203,-149.886
000054355000,54355000,C ST BETWEEN 3RD AND 4TH AVE SB,35.0mph,S,61.2192,-149.887
000054365000,54365000,C ST BETWEEN 4TH & 5TH AVE - SB,25.0mph,S,61.2183,-149.887
000054375000,54375000,C ST BETWEEN 5TH & 6TH AVE,25.0mph,S,61.2169,-149.887
000054385000,54385000,C ST BETWEEN 7TH & 8TH,25.0mph,S,61.2148,-149.887
000054605000,54605000,A ST 1/2 WAY BETWEEN 9TH & 6TH AVE BY FED BLDG NB,30.0mph,N,61.2148,-149.883
000054615000,54615000,A ST BETWEEN 5TH & 6TH AVE (ATT TO LIGHT POLE) - NB,30.0mph,N,61.2167,-149.883
000054625000,54625000,A ST BETWEEN 5TH & 4TH AVE,30.0mph,N,61.2178,-149.883
000054635000,54635000,A ST BETWEEN 4TH & 3RD AVE - NB,30.0mph,N,61.2188,-149.883
000054645000,54645000,ARCHIVED - A Street - Between C Street on Bridge and 3rd Avenue,35.0mph,N,61.2203,-149.886
000054773000,54773000,"EAST 5TH AVE, BY SHERATON HOTEL (E OF EAGLE - LOOP) - WB",30.0mph,W,61.2176,-149.877
000054779000,54779000,"EAST 5TH AVE, EAST OF BARROW ST (BTWN CORDOVA & A ST) BAD LOOP",30.0mph,W,61.2176,-149.882
000054785000,54785000,"WEST 5TH AVE, BTWN A & C STS (BAD LOOPS)",30.0mph,W,61.2176,-149.885
000054797000,54797000,EAST 5TH AVE - BTWN E & D STS (BAD LOOP) - WB,30.0mph,W,61.2176,-149.889
000054807000,54807000,"WEST 5TH AVE, BTWN G & H STS (LOOP BAD)",30.0mph,W,61.2176,-149.896
000054815000,54815000,"WEST 5TH AVE, BTWN I & L STREETS (BAD LOOP) - WB",30.0mph,W,61.2176,-149.9
000054825000,54825000,L ST BETWEEN 5TH & 6TH AVE - SB,30.0mph,S,61.2169,-149.904
000054835000,54835000,L ST JUST N OF 8TH AVE SB,30.0mph,S,61.215,-149.904
000054935000,54935000,"3RD AVE, BTWN EAGLE & CORDOVA - WB",30.0mph,W,61.2195,-149.876
000054945000,54945000,3RD AVE BETWEEN A & C ST - WB,30.0mph,W,61.2195,-149.885
000054952000,54952000,3RD AVE BETWEEN C & E ST TOTAL,30.0mph,E,61.2195,-149.889
000054965000,54965000,3RD AVE BETWEEN G & H ST TOTAL,30.0mph,E,61.2195,-149.896
000054971000,54971000,3RD AVE BTWN I AND K ST,30.0mph,E,61.219523,-149.900598
000054985000,54985000,L ST BETWEEN 4TH & 5TH AVE,30.0mph,S,61.2182,-149.904
000054995000,54995000,"W 6th Ave - Btwn L and K St (Passive ATR-Defective, Hose count)(Vaulted junction box on N side)",30.0mph,E,61.21668,-149.90221
000055003000,55003000,I ST BETWEEN 5TH & 6TH AVE,30.0mph,N,61.217,-149.9
000055008000,55008000,I ST BETWEEN 4TH & 5TH AVE,30.0mph,N,61.218,-149.9
000055012000,55012000,I ST BETWEEN 3RD & 4TH AVE,30.0mph,N,61.219,-149.9
000055023000,55023000,4TH AVE BETWEEN K & I ST,25.0mph,E,61.2185,-149.9
000055028000,55028000,"WEST 4TH AVE, BTWN G & H STREETS",25.0mph,E,61.2185,-149.896
000055032000,55032000,WEST 4TH AVE - IN FRONT OF SUNSHINE MALL (BTWN D & E) - TOTAL,25.0mph,E,61.2186,-149.891
000055037000,55037000,4TH AVE BETWEEN C & A ST,25.0mph,W,61.2186,-149.887
000055045000,55045000,EAST 4TH AVE - WEST OF BARROW ST - EB,25.0mph,E,61.2185,-149.881
000055046000,55046000,EAST 4TH AVE - EAST OF EAGLE ST - EB,30.0mph,E,61.2185,-149.875
